file_path,layer,domain,action,size,imports,notes
main.py,mixed,unknown,REVIEW,1642,9,Domain assignment unclear; Requires manual review
routers.py,mixed,unknown,DELETE,175,2,Domain assignment unclear
middleware/rate_limit.py,core,core,KEEP,687,5,
domains/campus/router.py,domain,campus,KEEP,656,5,
domains/campus/transport/routers/transport.py,domain,campus,MERGE,4713,8,May conflict with existing domain file
domains/campus/transport/models/logistics.py,domain,campus,MERGE,2485,4,May conflict with existing domain file
domains/campus/transport/models/__init__.py,domain,campus,KEEP,170,1,
domains/campus/transport/services/logistics.py,domain,campus,MERGE,3638,6,May conflict with existing domain file
domains/campus/transport/services/__init__.py,domain,campus,KEEP,94,1,
domains/campus/hostel/routers/hostel.py,domain,campus,MERGE,5421,9,May conflict with existing domain file
domains/campus/hostel/models/infrastructure.py,domain,campus,MERGE,2213,6,May conflict with existing domain file
domains/campus/hostel/models/__init__.py,domain,campus,KEEP,364,2,
domains/campus/hostel/models/operations.py,domain,campus,MERGE,2001,6,May conflict with existing domain file
domains/campus/hostel/services/residency.py,domain,campus,MERGE,5388,7,May conflict with existing domain file
domains/campus/hostel/services/__init__.py,domain,campus,KEEP,88,1,
domains/campus/library/routers/library.py,domain,campus,MERGE,4788,10,May conflict with existing domain file
domains/campus/library/models/resource.py,domain,campus,MERGE,2444,6,May conflict with existing domain file
domains/campus/library/models/__init__.py,domain,campus,KEEP,281,2,
domains/campus/library/models/circulation.py,domain,campus,MERGE,1435,5,May conflict with existing domain file
domains/campus/library/services/__init__.py,domain,campus,KEEP,96,1,
domains/campus/library/services/circulation.py,domain,campus,MERGE,6511,6,May conflict with existing domain file
domains/campus/models/__init__.py,domain,campus,KEEP,165,5,
domains/campus/inventory/routers/inventory.py,domain,campus,MERGE,4021,9,May conflict with existing domain file
domains/campus/inventory/models/asset.py,domain,campus,MERGE,4567,8,May conflict with existing domain file
domains/campus/inventory/models/__init__.py,domain,campus,KEEP,252,1,
domains/campus/inventory/services/asset.py,domain,campus,MERGE,4372,5,May conflict with existing domain file
domains/campus/inventory/services/__init__.py,domain,campus,KEEP,70,1,
domains/campus/orchestration/student_exit.py,domain,campus,KEEP,2621,10,
domains/campus/infrastructure/models/maintenance.py,domain,campus,MERGE,1069,5,May conflict with existing domain file
domains/campus/infrastructure/models/__init__.py,domain,campus,KEEP,141,2,
domains/campus/infrastructure/models/facility.py,domain,campus,MERGE,1188,5,May conflict with existing domain file
domains/campus/infrastructure/services/__init__.py,domain,campus,KEEP,83,1,
domains/campus/infrastructure/services/facility.py,domain,campus,MERGE,2348,6,May conflict with existing domain file
domains/admission/service.py,domain,admission,KEEP,103,1,
domains/admission/status_service.py,domain,admission,KEEP,1985,2,
domains/admission/models.py,domain,admission,KEEP,18957,10,Large file (>10KB)
domains/admission/__init__.py,domain,admission,KEEP,83,0,
domains/admission/schemas.py,domain,admission,KEEP,10557,4,Large file (>10KB)
domains/admission/router.py,domain,admission,KEEP,57,1,
domains/admission/routers/__init__.py,domain,admission,KEEP,427,4,
domains/admission/routers/application.py,domain,admission,MERGE,6735,15,May conflict with existing domain file
domains/admission/routers/admin.py,domain,admission,MERGE,4017,11,May conflict with existing domain file
domains/admission/routers/enhanced.py,domain,admission,MERGE,1539,7,May conflict with existing domain file
domains/admission/services/__init__.py,domain,admission,KEEP,209,3,
domains/admission/services/merit_service.py,domain,admission,MERGE,1939,5,May conflict with existing domain file
domains/admission/services/entrance_service.py,domain,admission,MERGE,1628,5,May conflict with existing domain file
domains/admission/services/admission_service.py,domain,admission,MERGE,11128,17,May conflict with existing domain file; Large file (>10KB)
domains/student/service.py,domain,student,KEEP,2424,5,
domains/student/router.py,domain,student,KEEP,544,5,
domains/student/routers/odc.py,domain,student,MERGE,1779,9,May conflict with existing domain file
domains/student/routers/portal.py,domain,student,MERGE,3610,8,May conflict with existing domain file
domains/student/routers/document.py,domain,student,MERGE,1275,7,May conflict with existing domain file
domains/student/routers/students.py,domain,student,MERGE,1810,7,May conflict with existing domain file
domains/student/models/odc.py,domain,student,MERGE,5396,6,May conflict with existing domain file
domains/student/models/portal.py,domain,student,MERGE,5337,7,May conflict with existing domain file
domains/student/models/parent.py,domain,student,MERGE,425,2,May conflict with existing domain file
domains/student/models/__init__.py,domain,student,KEEP,643,7,
domains/student/models/document.py,domain,student,MERGE,5596,8,May conflict with existing domain file
domains/student/models/enrollment.py,domain,student,MERGE,914,6,May conflict with existing domain file
domains/student/models/student.py,domain,student,MERGE,5627,11,May conflict with existing domain file
domains/student/schemas/odc.py,domain,student,MERGE,924,4,May conflict with existing domain file
domains/student/schemas/__init__.py,domain,student,KEEP,153,2,
domains/student/schemas/student.py,domain,student,MERGE,1136,4,May conflict with existing domain file
domains/student/services/odc.py,domain,student,MERGE,2279,5,May conflict with existing domain file
domains/student/services/portal.py,domain,student,MERGE,7543,8,May conflict with existing domain file
domains/student/services/__init__.py,domain,student,KEEP,103,3,
domains/student/services/document.py,domain,student,MERGE,6321,10,May conflict with existing domain file
domains/academic/service.py,domain,academic,KEEP,848,7,
domains/academic/router.py,domain,academic,KEEP,1983,14,
domains/academic/routers/regulations.py,domain,academic,MERGE,13814,8,May conflict with existing domain file; Large file (>10KB)
domains/academic/routers/student_promotion.py,domain,academic,MERGE,13613,11,May conflict with existing domain file; Large file (>10KB)
domains/academic/routers/sections.py,domain,academic,MERGE,3160,9,May conflict with existing domain file
domains/academic/routers/attendance.py,domain,academic,MERGE,5634,7,May conflict with existing domain file
